"","iso3","income"
"1","AFG",1
"2","ALB",6
"3","DZA",2
"4","AGO",6
"5","ATG",6
"6","ARG",2
"7","ARM",6
"8","AUS",3
"9","AUT",3
"10","AZE",6
"11","BHS",3
"12","BHR",6
"13","BGD",6
"14","BRB",6
"15","BLR",2
"16","BEL",3
"17","BLZ",2
"18","BEN",1
"19","BTN",6
"20","BOL",2
"21","BIH",6
"22","BWA",2
"23","BRA",2
"24","BRN",3
"25","BGR",2
"26","BFA",1
"27","BDI",1
"28","CPV",2
"29","KHM",6
"30","CMR",6
"31","CAN",3
"32","CAF",1
"33","TCD",1
"34","CHL",6
"35","CHN",6
"36","COL",2
"37","COM",6
"38","COD",1
"39","COG",6
"40","CRI",2
"41","CIV",6
"42","HRV",6
"43","CUB",2
"44","CYP",3
"45","CZE",6
"46","DNK",3
"47","DJI",2
"48","DMA",2
"49","DOM",2
"50","ECU",2
"51","EGY",6
"52","SLV",2
"53","GNQ",7
"54","ERI",1
"55","EST",6
"56","SWZ",2
"57","ETH",1
"58","FJI",2
"59","FIN",3
"60","FRA",3
"61","GAB",2
"62","GMB",1
"63","GEO",6
"64","DEU",3
"65","GHA",6
"66","GRC",6
"67","GRD",2
"68","GTM",2
"69","GIN",1
"70","GNB",1
"71","GUY",6
"72","HTI",1
"73","HND",6
"74","HUN",6
"75","ISL",3
"76","IND",6
"77","IDN",6
"78","IRN",2
"79","IRQ",2
"80","IRL",3
"81","ISR",3
"82","ITA",3
"83","JAM",2
"84","JPN",3
"85","JOR",2
"86","KAZ",2
"87","KEN",6
"88","KIR",2
"89","KOR",6
"90","KWT",3
"91","KGZ",6
"92","LAO",6
"93","LVA",6
"94","LBN",2
"95","LSO",6
"96","LBR",1
"97","LBY",2
"98","LTU",6
"99","LUX",3
"100","MDG",1
"101","MWI",1
"102","MYS",2
"103","MDV",6
"104","MLI",1
"105","MLT",6
"106","MHL",2
"107","MRT",6
"108","MUS",2
"109","MEX",2
"110","FSM",2
"111","MDA",6
"112","MNG",6
"113","MAR",2
"114","MOZ",1
"115","MMR",6
"116","NAM",2
"117","NPL",1
"118","NLD",3
"119","NZL",3
"120","NIC",6
"121","NER",1
"122","NGA",6
"123","MKD",2
"124","NOR",3
"125","OMN",6
"126","PAK",6
"127","PAN",6
"128","PNG",4
"129","PRY",2
"130","PER",2
"131","PHL",2
"132","POL",6
"133","PRT",6
"134","QAT",3
"135","ROU",2
"136","RUS",2
"137","RWA",1
"138","WSM",2
"139","STP",6
"140","SAU",6
"141","SEN",6
"142","SYC",6
"143","SLE",1
"144","SGP",3
"145","SVK",6
"146","SVN",6
"147","SLB",6
"148","ZAF",2
"149","ESP",3
"150","LKA",6
"151","LCA",2
"152","VCT",2
"153","SDN",6
"154","SUR",2
"155","SWE",3
"156","CHE",3
"157","SYR",5
"158","TWN",3
"159","TJK",6
"160","TZA",1
"161","THA",2
"162","TGO",1
"163","TON",2
"164","TTO",6
"165","TUN",2
"166","TUR",2
"167","TKM",2
"168","UGA",1
"169","UKR",6
"170","ARE",3
"171","GBR",3
"172","USA",3
"173","URY",6
"174","UZB",6
"175","VUT",2
"176","VEN",2
"177","VNM",6
"178","PSE",2
"179","YEM",6
"180","ZMB",6
"181","ZWE",4
